96,JMP address,C3,INC PC,00000000100000000000000100000000
97,JMP address,C3,MDR-FM WE,00000000000000000000000100000000
98,JMP address,C3,OperandHigh <- MDR-FM,01000000000000000110000000000000
99,JMP address,C3,PC <- OperandFull,00100000000000010000000000000000
100,JMP address,C3,NOP,00000000000000000000000000000000
101,JNZ address,C2,MAR <- PC,00010000000000100000000000000000
102,JNZ address,C2,INC PC,00000000100000000000000100000000
103,JNZ address,C2,MDR-FM WE,00000000000000000000000100000000
104,JNZ address,C2,OperandLow <- MDR-FM,01000000000000000100000000000000
105,JNZ address,C2,MAR <- PC,00010000000000100000000000000000
106,JNZ address,C2,INC PC,00000000100000000000000100000000
107,JNZ address,C2,MDR-FM WE,00000000000000000000000100000000
108,JNZ address,C2,OperandHigh <- MDR-FM,01000000000000000110000000000000
109,JNZ address,C2,Abort if Z,00000000000000000000000000001000
110,JNZ address,C2,PC <- OperandFull,00100000000000010000000000000000
111,JNZ address,C2,NOP,00000000000000000000000000000000
112,JZ address,CA,MAR <- PC,00010000000000100000000000000000
113,JZ address,CA,INC PC,00000000100000000000000100000000
114,JZ address,CA,MDR-FM WE,00000000000000000000000100000000
115,JZ address,CA,OperandLow <- MDR-FM,01000000000000000100000000000000
116,JZ address,CA,MAR <- PC,00010000000000100000000000000000
117,JZ address,CA,INC PC,00000000100000000000000100000000
118,JZ address,CA,MDR-FM WE,00000000000000000000000100000000
119,JZ address,CA,OperandHigh <- MDR-FM,01000000000000000110000000000000
120,JZ address,CA,Abort if Not Z,00000000000000000000000000010000
121,JZ address,CA,PC <- OperandFull,00100000000000010000000000000000
122,JZ address,CA,NOP,00000000000000000000000000000000
123,LDA address,3A,MAR <- PC,00010000000000100000000000000000
124,LDA address,3A,INC PC,00000000100000000000000100000000
125,LDA address,3A,MDR-FM WE,00000000000000000000000100000000
126,LDA address,3A,OperandLow <- MDR-FM,01000000000000000100000000000000
127,LDA address,3A,MAR <- PC,00010000000000100000000000000000
128,LDA address ,3A,INC PC,00000000100000000000000100000000
129,LDA address,3A,MDR-FM WE,00000000000000000000000100000000
130,LDA address,3A,OperandHigh <- MDR-FM,01000000000000000110000000000000
131,LDA address,3A,MAR <- OperandFull,00100000000000100000000000000000
132,LDA Address,3A,MDR-FM WE,00000000000000000000000100000000
133,LDA Address,3A,MDR-FM WE,00000000000000000000000100000000
134,LDA address,3A,ACC <- MDR-FM,01000000001000000000000000000000
135,LDA address,3A,NOP,00000000000000000000000000000000
136,"MOV A,B",78,A <- B,01100000001000000000000000000000
137,"MOV A,B",78,NOP,00000000000000000000000000000000
138,"MOV A,C",79,A <- C,01110000001000000000000000000000
139,"MOV A,C",79,NOP,00000000000000000000000000000000
140,"MOV B,A",47,B <- A,01010000000100000000000000000000
141,"MOV B,A",47,NOP,00000000000000000000000000000000
142,"MOV B,C",41,B <- C,01110000000100000000000000000000
143,"MOV B,C",41,NOP,00000000000000000000000000000000
144,"MOV C,A",4F,C <- A,01010000000010000000000000000000
145,"MOV C,A",4F,NOP,00000000000000000000000000000000
146,"MOV C,B",48,C <- B,01100000000010000000000000000000
147,"MOV C,B",48,NOP,00000000000000000000000000000000
148,"MVI A, byte",3E,MAR <- PC,00010000000000100000000000000000
149,"MVI A, byte",3E,INC PC,00000000100000000000000100000000
150,"MVI A, byte",3E,MDR-FM WE,00000000000000000000000100000000
151,"MVI A, byte",3E,ACC <- MDR-FM,01000000001000000000000000000000
152,"MVI A, byte",3E,NOP,00000000000000000000000000000000
153,"MVI B, byte",06,MAR <- PC,00010000000000100000000000000000
154,"MVI B, byte",06,INC PC,00000000100000000000000100000000
155,"MVI B, byte",06,MDR-FM WE,00000000000000000000000100000000
156,"MVI B, byte",06,B <- MDR-FM,01000000000100000000000000000000
157,"MVI B, byte",06,NOP,00000000000000000000000000000000
158,"MVI C, byte",0E,MAR <- PC,00010000000000100000000000000000
159,"MVI C, byte",0E,INC PC,00000000100000000000000100000000
160,"MVI C, byte",0E,MDR-FM WE,00000000000000000000000100000000
161,"MVI C, byte",0E,C <- MDR-FM,01000000000010000000000000000000
162,"MVI C, byte",0E,NOP,00000000000000000000000000000000
163,NOP,00,NOP,00000000000000000000000000000000
164,ORA B,B0,TMP <- B,01100000000001000000000000000000
165,ORA B,B0,OP=OR,00000110000000000000000001000000
166,ORA B,B0,ACC <- ALU,00110000001000000000000000000000
167,ORA B,B0,NOP,00000000000000000000000000000000
168,ORA C,B1,TMP <- C,01110000000001000000000000000000
169,ORA C,B1,OP=OR,00000110000000000000000001000000
170,ORA C,B1,ACC <- ALU,00110000001000000000000000000000
171,ORA C,B1,NOP,00000000000000000000000000000000
172,ORI byte,F6,MAR <- PC,00010000000000100000000000000000
173,ORI byte,F6,INC PC,00000000100000000000000100000000
174,ORI byte,F6,MDR-FM WE,00000000000000000000000100000000
175,ORI byte,F6,TMP <- MDR-FM; OP=OR,01000110000001000000000001000000
176,ORI byte,F6,ACC <- ALU,00110000001000000000000000000000
177,ORI byte,F6,NOP,00000000000000000000000000000000
178,OUT byte,D3,MAR <- PC,00010000000000100000000000000000
179,OUT byte,D3,INC PC,00000000100000000000000100000000
180,OUT byte,D3,MDR-FM WE,00000000000000000000000100000000
181,OUT byte,D3,OperandLow <- MDR-FM,01000000000000000100000000000000
182,OUT byte,D3,WAIT,00000000000000000000000000000100
183,OUT byte,D3,NOP,00000000000000000000000000000000
184,RAL,17,TMS <- ACC,01010000000001000000000000000000
185,RAL,17,OP=RAL,00001001000000000000000001000000
186,RAL,17,ACC <- ALU,00110000001000000000000000000000
187,RAL,17,NOP,00000000000000000000000000000000
188,RAR,1F,TMS <- ACC,01010000000001000000000000000000
189,RAR,1F,OP=RAR,00001010000000000000000001000000
190,RAR,1F,ACC <- ALU,00110000001000000000000000000000
191,RAR,1F,NOP,00000000000000000000000000000000
192,RET,C9,INC SP,00000000000000000000000000000010
193,RET,C9,MAR <- SP; MDR-FM WE,11010000000000100000000100000000
194,RET,C9,MDR-FM <- RAM; MDR-FM WE,00000000000000000000000100000000
195,RET,C9,MDR-FM <- RAM; MDR-FM WE,00000000000000000000000100000000
196,RET,C9,PC L <- MDR-FM,01000000000000000000010000000000
197,RET,C9,INC SP,00000000000000000000000000000010
198,RET,C9,MAR <- SP; MDR-FM WE,11010000000000100000000100000000
199,RET,C9,MDR-FM <- RAM; MDR-FM WE,00000000000000000000000100000000
200,RET,C9,MDR-FM <- RAM; MDR-FM WE,00000000000000000000000100000000
201,RET,C9,PC H <- MDR-FM,01000000000000000000001000000000
202,RET,C9,NOP,00000000000000000000000000000000
203,STA address,32,MAR <- PC,00010000000000100000000000000000
204,STA address,32,INC PC,00000000100000000000000100000000
205,STA address,32,MDR-FM WE,00000000000000000000000100000000
206,STA address,32,OperandLow <- MDR-FM,01000000000000000100000000000000
207,STA address,32,MAR <- PC,00010000000000100000000000000000
208,STA address,32,INC PC,00000000100000000000000100000000
209,STA address,32,MDR-FM WE,00000000000000000000000100000000
210,STA address,32,OperandHigh <- MDR-FM,01000000000000000110000000000000
211,STA address,32,MAR <- OperandFull,00100000000000100000000010000000
212,STA address,32,MDR-TM <- ACC; RAM WE; MDR-TM WE,01010000000000001000000010000000
213,STA address,32,RAM WE,00000000000000100000000010000000
214,STA address,32,NOP,00000000000000000000000000000000
215,SUB B,90,TMP <- B,01100000000001000000000000000000
216,SUB B,90,OP=SUB,00000010000000000000000001000000
217,SUB B,90,ACC <- ALU,00110000001000000000000000000000
218,SUB B ,90,NOP,00000000000000000000000000000000
219,SUB C,91,TMP <- B,01110000000001000000000000000000
220,SUB C,91,OP=SUB,00000010000000000000000000000000
221,SUB C,91,ACC <- ALU,00110000001000000000000000000000
222,SUB C,91,NOP,00000000000000000000000000000000
223,XRA B,A8,TMP <- B,01100000000001000000000000000000
224,XRA B,A8,OP=XOR,00000111000000000000000001000000
225,XRA B,A8,ACC <- ALU,00110000001000000000000000000000
226,XRA B,A8,NOP,00000000000000000000000000000000
227,XRA C,A9,TMP <- C,01110000000001000000000000000000
228,XRA C,A9,OP=XOR,00000111000000000000000001000000
229,XRA C,A9,ACC <- ALU,00110000001000000000000000000000
230,XRA C,A9,NOP,00000000000000000000000000000000
231,XRI byte,EE,MAR <- PC,00010000000000100000000000000000
232,XRI byte,EE,INC PC,00000000100000000000000100000000
233,XRI byte,EE,MDR-FM WE,00000000000000000000000100000000
234,XRI byte,EE,TMP <- MDR-FM; OP=XOR,01000111000001000000000001000000
235,XRI byte,EE,ACC <- ALU,00110000001000000000000000000000
236,XRI byte,EE,NOP,00000000000000000000000000000000
